Nom,Prénom,Email,Numéro_Téléphone,Adresse,Date_de_naissance,Sexe,État_civil,Nationalité,Langues,Diplôme,Année_diplôme,Établissement,Expérience_professionnelle,Certifications,Compétences
SDUFZ,ZSEGW,E9F6054D@example.com,6253521000.0,057EA13B-6 Street,1993-01-21,Homme,Marié(e),Française,"Français, Espagnol",Licence,2018,École Supérieure de Commerce,J'ai identifié les canaux de communication les plus efficaces pour atteindre notre marché cible.,Certification en marketing digital et stratégies de contenu.,Marketing
KRBKS,NMIJE,8ECF7EDE@example.com,6109154000.0,A2063622-8 Street,1974-01-21,Autre,Célibataire,Française,"Français, Espagnol",Licence,2002,Université Lyon,Gestion des flux de trésorerie et de la liquidité au sein de la banque.,Certification en gestion de projet Agile.,Gestion
JSDID,NVIJD,9D12028E@example.com,6561864000.0,56A3E869-6 Street,1968-01-21,Autre,Marié(e),Anglaise,"Français, Espagnol",Licence,2014,Université Paris,J'ai assuré la sécurité des déploiements via une approche DevOps.,Certification en développement web et programmation Python.,Développement
TFEOO,LMWNV,0B344C0E@example.com,6757857000.0,1FE3EA36-6 Street,2000-01-21,Femme,Célibataire,Française,"Français, Espagnol",Master,2004,Université Paris,Suivi de l'avancement des projets à l’aide de logiciels de gestion tels que Jira.,Certification en gestion de projet Agile.,Gestion
CVAQI,LLENQ,02FDC0C4@example.com,6858870000.0,DC9F13C8-D Street,1999-01-21,Autre,Marié(e),Française,"Français, Anglais",BTS,2008,Université Paris,J'ai suivi les indicateurs clés de performance (KPI) des campagnes SEM pour garantir leur succès.,Certification en marketing digital et stratégies de contenu.,Marketing
CUIHJ,EYXEA,586E3558@example.com,680118700.0,CA18FC8E-4 Street,1970-01-21,Femme,Célibataire,Française,"Français, Espagnol",BTS,2013,Université Paris,Supervision des politiques de prêts et d'emprunts dans une banque.,Certification en gestion de projet Agile.,Gestion
SDSBF,MIOYT,9E273387@example.com,6664700000.0,E4D847F5-4 Street,1979-01-21,Femme,Célibataire,Française,"Anglais, Allemand",BTS,2011,École Supérieure de Commerce,J'ai refactorisé le code pour réduire la duplication de code et optimiser la gestion de la mémoire.,Certification en développement web et programmation Python.,Développement
RLMZT,GUESY,B8ED4005@example.com,681663100.0,63B91BC3-D Street,1989-01-21,Homme,Célibataire,Espagnole,"Français, Anglais",BTS,2003,Université Paris,En charge de l'analyse des taux de change pour les transactions en monnaie étrangère.,Certification en gestion de projet Agile.,Gestion
DJQAV,UFTNG,F019F492@example.com,6692439000.0,CCEF5BC3-0 Street,1988-01-21,Autre,Divorcé(e),Anglaise,"Français, Espagnol",BTS,2016,École Supérieure de Commerce,J'ai participé à l'élaboration de stratégies de marketing de contenu en cohérence avec le branding.,Certification en marketing digital et stratégies de contenu.,Marketing
TLPSW,MVGGL,088E2E2F@example.com,6360140000.0,C62C788D-2 Street,1999-01-21,Homme,Marié(e),Anglaise,"Français, Anglais",Licence,2000,Université Lyon,Réalisation de processus de nettoyage et de validation des données dans des bases NoSQL.,Certification en développement web et programmation Python.,Développement
AZFEQ,FQGJL,76D29DFF@example.com,6757775000.0,EE70DC7E-6 Street,1997-01-21,Autre,Célibataire,Française,"Français, Anglais",BTS,2012,Université Paris,Gestion des performances de bases de données en utilisant des outils d'analyse et de diagnostic.,Certification en développement web et programmation Python.,Développement
DLNRI,XBPDA,0AA2BC6E@example.com,6316515000.0,659CBAEF-F Street,1991-01-21,Femme,Célibataire,Française,"Français, Anglais",Licence,2011,Université Lyon,Suivi des performances des annonces PPC à l'aide de Google Analytics et des rapports personnalisés pour optimiser les résultats.,Certification en marketing digital et stratégies de contenu.,Marketing
MPRWR,LWLWY,E691F556@example.com,6346151000.0,E80C82DF-0 Street,1983-01-21,Homme,Divorcé(e),Anglaise,"Français, Anglais",Licence,2017,Université Lyon,Implémentation de designs UX/UI pour maximiser l’efficacité des processus commerciaux numériques.,Certification en marketing digital et stratégies de contenu.,Marketing
IVCNG,MCMZT,BC1B5664@example.com,6212432000.0,4C0D2E02-1 Street,2002-01-21,Femme,Divorcé(e),Anglaise,"Français, Espagnol",Master,2005,École Supérieure de Commerce,Mise en place de stratégies de marketing basées sur des événements sportifs.,Certification en marketing digital et stratégies de contenu.,Marketing
YXQZB,AACFS,51E74EEA@example.com,6121048000.0,D49ABEFA-3 Street,1971-01-21,Autre,Marié(e),Française,"Français, Espagnol",Licence,2015,Université Lyon,J'ai utilisé le CRM pour analyser la satisfaction client et adapter les stratégies marketing.,Certification en marketing digital et stratégies de contenu.,Marketing
SLHGF,QIWQO,0825A926@example.com,6107043000.0,6D5286C6-A Street,1983-01-21,Homme,Marié(e),Anglaise,"Anglais, Allemand",Licence,2017,École Supérieure de Commerce,"En tant que responsable du marketing viral, j'ai mis en place des approches innovantes pour augmenter l'engagement en ligne.",Certification en marketing digital et stratégies de contenu.,Marketing
EPYFU,PHASP,F06A7CE0@example.com,6275093000.0,72339DFE-8 Street,2001-01-21,Homme,Marié(e),Française,"Français, Espagnol",BTS,2000,Université Lyon,Mise en œuvre d'outils de traitement des données médicales en temps réel.,Certification en développement web et programmation Python.,Développement
XFADZ,GDQPL,E2A6765A@example.com,6657942000.0,8B9936D4-C Street,2005-01-21,Autre,Célibataire,Française,"Français, Espagnol",Master,2008,École Supérieure de Commerce,Création de campagnes de marketing pour promouvoir des offres saisonnières.,Certification en marketing digital et stratégies de contenu.,Marketing
BZTEP,YQBVN,8C6D7D08@example.com,6851297000.0,0C94204D-2 Street,1997-01-21,Homme,Célibataire,Anglaise,"Français, Espagnol",Master,2011,École Supérieure de Commerce,J'ai participé à l'élaboration d'un plan d'action pour optimiser les processus de vente.,Certification en gestion de projet Agile.,Gestion
BBFUO,ZOEKI,365DF609@example.com,6760084000.0,A485900B-4 Street,1994-01-21,Homme,Divorcé(e),Anglaise,"Anglais, Allemand",Licence,2002,Université Paris,Utilisation de Mailchimp pour envoyer des e-mails transactionnels tout en respectant les normes de confidentialité.,Certification en marketing digital et stratégies de contenu.,Marketing
IUBBE,GXWTA,8DC78320@example.com,653176100.0,7C307526-E Street,1988-01-21,Autre,Divorcé(e),Anglaise,"Français, Espagnol",Licence,2002,Université Paris,Suivi des tendances du marché pour ajuster la stratégie de Supply Chain Management.,Certification en gestion de projet Agile.,Gestion
OUXXP,BGALK,52E4EE69@example.com,6265639000.0,78AAB16C-0 Street,1969-01-21,Autre,Divorcé(e),Anglaise,"Français, Anglais",Licence,2007,Université Lyon,Création et gestion de bases de données pour les systèmes de gestion des ressources humaines.,Certification en développement web et programmation Python.,Développement
